S1_QAgNO3(%),S1_Qpva(%),S1_Qtsc(%),S1_Qseed(%),S1_Qtot(uL/min),ST_QAgNO3(%),ST_Qpva(%),ST_Qtsc(%),ST_Qseed(%),ST_Qtot(uL/min)
0.3988445422751409,0.028749482312728038,0.07208033086722357,0.4085669622487113,0.029959313095913022,0.43923045768702285,0.9622620058408375,0.9443240990786029,0.5017644594386697,0.9741949980729835
0.4216173839427341,0.0017095163581856544,0.03684007108900815,0.35032402629155746,-0.0067517837858404,0.47049032025246273,0.9948710174418339,0.9799446809593522,0.4959060318167774,1.0020248339478466
0.46655968017228583,-0.02999113164943913,0.007601420216259864,0.310005991133326,-0.030358886312101947,0.5372012065397659,1.0178477315834065,0.9952691827261082,0.4979894758715515,1.0305083693224648
0.5331005155765279,0.012405653751845325,0.038685635318506106,0.5029972230275007,0.007434810093957941,0.605712282536718,0.9945402226425243,0.9653183682355639,0.6119857308533049,1.0010541449040402
0.5635277159613893,0.05501100953089514,0.09686475248220151,0.4325589246306648,0.04994877496622925,0.5829949171593969,0.9540656620123923,0.9380828866051468,0.5116097307953511,0.9650434545877741
0.4990532139705127,-0.0006154696301032444,0.023696044983018177,0.41330569538689466,-0.010462670032453051,0.5809710745000107,0.9987244716309064,0.9639366529671525,0.5250075809468828,1.0012975746846515
0.5915002818755589,-0.00016305273349280532,0.015894324213648028,0.43335049152394145,-0.005178213452879191,0.6412574477842994,1.0038186654203693,0.9702114238170118,0.5884379103115854,1.0094903014498082
0.5576176031651909,0.03179227056739516,0.04291723649505185,0.3335391081848019,0.023539365606919084,0.5928338358364732,0.968753849251293,0.9292263222863263,0.42669985652599396,0.9726252854285313
0.48464003931854943,-0.014029654044621956,0.019621012442421468,0.3941197868163861,-0.013805050270225015,0.5495723607599499,1.0078810696816398,0.981974526146558,0.554248692038861,1.018728849180807
0.42019264690459945,-0.012107032642714196,0.02456209808246948,0.4746208227258064,-0.018710271691412497,0.47847122674548415,1.0103523290426872,0.9845969762820661,0.6294348362284822,1.0164147572785465
0.46452221399140114,0.0028062457182207153,0.06301429814033223,0.49018078091018547,-0.008101644903589273,0.539897696684248,1.0091596313669284,1.0004425346204764,0.6296335627675242,1.009273687691135
0.5491669622881865,-0.0036537502074387783,-0.0010317158914240003,0.4594875369300762,-0.011186303382407241,0.6237311058464443,1.0026810092362959,0.9555100492228817,0.5958610192067781,1.0081055818615823
0.4469978071055441,-0.014143885742969273,0.015120236649455093,0.35661078363497095,-0.010367435891186461,0.4786007020806736,0.9971185417926723,0.9615389925747638,0.5311958513679493,1.009125787064135
0.5386542999764592,0.0321064334943284,0.06723650203591135,0.5492196959874492,0.023427896492502175,0.5554479514585704,0.9807548254215069,0.967400640728351,0.6593234132306547,0.9844054272728144
0.40888520215533275,-0.029050682008647855,-0.0029436266870561593,0.3285452560705169,-0.03259269402013485,0.48173109427235505,1.019748732315824,0.9931882735215276,0.502426485060183,1.0309772994207538
0.5444198022226164,0.027538177974716565,0.0550967010544829,0.47652152682674603,0.027047420905331056,0.5898384047018701,0.96106524590569,0.9369635677439367,0.551041784126868,0.9745775834785659
