QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min),Y
0.00146484375,0.37646484375,0.44775390625,0.48681640625,0.55712890625,1.0762477
0.84423828125,0.37646484375,0.44775390625,0.48681640625,0.55712890625,0.42051405
0.00146484375,0.24169921875,0.44775390625,0.48681640625,0.55712890625,1.0853988
0.00146484375,0.37646484375,0.58740234375,0.48681640625,0.55712890625,1.1382482
0.00146484375,0.37646484375,0.44775390625,0.69677734375,0.55712890625,1.2523131
0.00146484375,0.37646484375,0.44775390625,0.48681640625,0.67138671875,1.0680021
0.84423828125,0.24169921875,0.58740234375,0.69677734375,0.67138671875,0.65948576
0.50146484375,0.87646484375,0.94775390625,0.98681640625,0.05712890625,0.41126525
0.34423828125,0.87646484375,0.94775390625,0.98681640625,0.05712890625,0.53688467
0.50146484375,0.74169921875,0.94775390625,0.98681640625,0.05712890625,0.42872977
0.50146484375,0.87646484375,0.08740234375,0.98681640625,0.05712890625,0.29369533
0.50146484375,0.87646484375,0.94775390625,0.19677734375,0.05712890625,0.554023
0.50146484375,0.87646484375,0.94775390625,0.98681640625,0.17138671875,0.4204656
0.34423828125,0.74169921875,0.08740234375,0.19677734375,0.17138671875,0.58873737
0.75146484375,0.12646484375,0.19775390625,0.23681640625,0.30712890625,0.35767645
0.09423828125,0.12646484375,0.19775390625,0.23681640625,0.30712890625,0.87459177
0.75146484375,0.49169921875,0.19775390625,0.23681640625,0.30712890625,0.34500045
0.75146484375,0.12646484375,0.33740234375,0.23681640625,0.30712890625,0.35964853
0.75146484375,0.12646484375,0.19775390625,0.44677734375,0.30712890625,0.3590784
0.75146484375,0.12646484375,0.19775390625,0.23681640625,0.42138671875,0.35698617
0.09423828125,0.49169921875,0.33740234375,0.44677734375,0.42138671875,0.8645995
0.25146484375,0.62646484375,0.69775390625,0.73681640625,0.80712890625,0.9466844
0.59423828125,0.62646484375,0.69775390625,0.73681640625,0.80712890625,0.673796
0.25146484375,0.99169921875,0.69775390625,0.73681640625,0.80712890625,0.92249316
0.25146484375,0.62646484375,0.83740234375,0.73681640625,0.80712890625,0.95375365
0.25146484375,0.62646484375,0.69775390625,0.94677734375,0.80712890625,0.66774297
0.25146484375,0.62646484375,0.69775390625,0.73681640625,0.92138671875,0.95878
0.59423828125,0.99169921875,0.83740234375,0.94677734375,0.92138671875,0.3898281
0.37646484375,0.00146484375,0.82275390625,0.61181640625,0.93212890625,0.8586472
0.96923828125,0.00146484375,0.82275390625,0.61181640625,0.93212890625,0.79510224
0.37646484375,0.36669921875,0.82275390625,0.61181640625,0.93212890625,0.835492
0.37646484375,0.00146484375,0.46240234375,0.61181640625,0.93212890625,0.7602242
0.37646484375,0.00146484375,0.82275390625,0.32177734375,0.93212890625,0.54543644
0.37646484375,0.00146484375,0.82275390625,0.61181640625,0.04638671875,0.8398933
0.96923828125,0.36669921875,0.46240234375,0.32177734375,0.04638671875,0.3415593
0.87646484375,0.50146484375,0.32275390625,0.11181640625,0.43212890625,0.5753497
0.46923828125,0.50146484375,0.32275390625,0.11181640625,0.43212890625,0.6193179
0.87646484375,0.86669921875,0.32275390625,0.11181640625,0.43212890625,0.56673574
0.87646484375,0.50146484375,0.96240234375,0.11181640625,0.43212890625,0.6913225
0.87646484375,0.50146484375,0.32275390625,0.82177734375,0.43212890625,0.4587646
0.87646484375,0.50146484375,0.32275390625,0.11181640625,0.54638671875,0.56397176
