lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,lattice_volume,num_sites,energy_total
6.9419523112540436,7.17878940055673,8.791651649033692,82.25599709677074,71.35701701555689,81.58285544631552,408.857471262788,39.0,-238.66141647
11.015890151,10.979878523532914,15.5253,90.0,90.0,108.38707522035817,1781.9650324866138,128.0,-1308.97752993
9.87908577505527,10.33612930878036,13.982725858725045,84.89385742117446,69.31953801382203,75.39672346648874,1292.6431803668982,108.0,-373.36363851
9.806670329364211,9.86434422992402,13.246085401508072,90.00043546112589,89.99901451903042,103.52234312317131,1245.8569157808674,108.0,-672.04674395
9.994047568231132,10.948986419678008,12.103,104.47496336743494,101.15633854909595,109.87693972696658,1148.1555570020012,102.0,-302.81447527
7.522574947547196,7.859645199962849,8.828038148745447,81.84550698923205,79.57792009540924,77.1682638247753,497.7034160965076,42.0,-302.8315747
7.758242238092828,7.759418626064732,11.717857802027424,90.0001654189413,89.99997938182447,89.96490723803822,705.4084546678843,64.0,-374.822041
7.385951579667496,7.496269356353014,16.14183715433414,90.00104536341313,89.99939943136876,114.76534899061804,811.5312909741906,76.0,-558.46651473
12.79531863848492,13.066846293002886,13.867330778890395,90.00006845946886,102.873396296232,89.99995239437787,2260.263800390502,216.0,-341.36450104
12.162534995005375,12.707401840351135,14.76339081532755,98.22654794842941,90.00010002743407,90.00002485365916,2258.2652824363186,216.0,-465.07710774
8.768836170634213,10.0608317086581,10.065153540886538,68.04929968708272,75.85915100538338,75.88185339094625,787.0579800029901,74.0,-928.74931618
8.11183823720553,8.87466853275107,12.38053047667247,86.01066554724201,80.95404609209136,66.13053854921819,804.8875711783115,82.0,-510.03010139
3.816622644696756,7.753156763126384,12.806831888256838,91.00740270269176,83.17055419006029,92.11723090223678,375.9863155410196,40.0,-487.53626503
7.408704068,12.461745766279817,13.019,90.0,90.0,94.13928068799966,1198.8488695915357,108.0,-406.93697453
11.106184405064138,12.191020376119083,19.61770251315754,90.00039730280605,90.000228409691,90.00031547410534,2656.152963904556,180.0,-672.71833813
11.038743472011566,12.094646289014877,19.38642543700376,90.0000708920964,90.00000757031435,89.99983454548538,2588.275800905775,180.0,-544.07334824
11.020603371003098,12.028972197003549,19.283136448011334,89.99991280084919,89.99991428912217,90.00001813771796,2556.298516196599,180.0,-686.70109352
3.756960431625965,7.256289873173025,12.589802376562659,76.37720139905585,89.39940399665049,83.6315534679647,331.46060644877144,31.0,-361.9262258
10.987685431002033,11.912510701001798,19.17392844600494,89.99994590375711,89.9999382451826,89.99996755036794,2509.6931396018035,180.0,-589.40684952
10.966398854352276,11.853923706000728,19.08137667562692,90.00003094072153,90.0009232620196,89.99997441081987,2480.480800486507,180.0,-475.19525343
10.966322136005035,11.79844103600046,19.013845125009333,90.00002953677937,89.99989064167305,89.99998761595963,2460.115955453086,180.0,-192.33439976
7.052503592202486,9.919825755477508,15.151713132043668,90.00006183417803,89.99986596018844,80.48109087339722,1045.412726404607,96.0,-544.2216168
7.062319136521578,9.96682730567986,11.869887945890158,88.86192311745299,77.27053319400726,89.27178008103193,814.782351490517,86.0,-640.3771971
3.654452527676424,12.783854306338041,14.268446814527413,90.00508271407607,89.99985716736101,93.14462555228275,665.5894098948776,70.0,-314.44830066
8.924072813122791,9.129314821748546,9.911801401265704,100.37981479685027,99.4166970130936,102.98598858586632,756.240028090761,62.0,-169.87439302
7.202264618883757,9.626617760493739,11.1854451816876,65.66083423572601,83.81031299467634,69.55317918473004,661.4862409557408,58.0,-879.48550292
7.201863133,11.189449256,16.7044,90.0,90.0,90.0,1346.1221041396548,132.0,-500.10707994
8.321911496611643,11.866916869,14.4138,90.0,105.19291454098128,90.0,1373.6902294377371,134.0,-463.51590022
5.944889272672114,8.900058642295766,13.664281941859729,89.999596879906,89.99820697311624,89.99960512484303,722.975287180476,64.0,-463.43370263
6.984212381,13.942661845,14.392,90.0,90.0,90.0,1401.4715372481567,126.0,-893.46325952
3.9322237776545945,11.915298737384735,12.183992515360652,94.0971900882301,93.43076309277643,93.08630799855129,567.4156747950102,46.0,-571.42705699
6.969877451,13.945650675,14.363,90.0,90.0,90.0,1396.0760763619276,126.0,-588.47158253
9.167906883810378,9.935603619956158,11.061534836003192,89.99948742405168,89.99997206757504,112.13317504796672,933.3327237575417,88.0,-466.35138034
7.8824682421970005,10.376161784350554,11.40803322547039,112.2714768994396,95.83525843411343,99.37051344583033,838.1815539409787,62.0,-569.93870572
5.695118626702078,6.346642606762012,6.3464550683675265,66.85469529706333,89.11498003297964,89.11664910551859,210.89228783766882,17.0,-635.33162398
7.103849002338028,9.709715425245129,9.72119458684133,79.12310632380789,75.94585217181404,76.06720601126425,625.2557671496315,64.0,-635.08035131
7.033561962831765,11.849573258,14.0134,90.0,96.29586883330627,90.0,1160.8987072104912,110.0,-520.19136989
5.561420136519831,8.979538305365242,18.569410877197114,77.10433481957277,81.57041184579565,82.79502787504946,890.0406932323782,89.0,-502.49857974
8.55075252181295,12.109409148088922,12.7575,75.46849946972681,78.11954274203983,83.82865876455041,1249.1442456238346,118.0,-597.38535899
6.1927127296508555,7.930131420933562,17.23603349812753,88.76081607841311,107.40009015891675,111.56995945537078,747.418035590397,72.0,-425.64450302
5.8713028201179505,8.547199059874234,15.54361467673276,85.52838139257234,89.52842443478198,72.07574962309309,739.8076703291082,72.0,-587.09487742
8.89714231065698,8.914434501344937,9.8193192472644,93.15045977074034,98.88401848311163,104.25848139272995,742.2276878296309,48.0,-240.15061144
8.135989699426746,10.070813380665026,11.043296264915424,117.16314957391151,95.7012839622726,94.96688648660859,792.1214931930693,48.0,-309.41730149
8.631110112587871,12.985699444901842,27.825908796879133,90.02128311866562,90.01497999364453,90.00122308776491,3118.755411414031,244.0,-466.32413364
10.849923746723315,10.994571633471937,14.158749368967728,112.8523433578041,93.62105555144099,90.00587553007384,1552.7647093357064,132.0,-790.93721069
6.707564283795556,22.816209288016424,24.047040670443195,90.00164419742354,104.53195375509111,90.00176373142912,3562.450622605125,256.0,-790.88476466
8.1166751688946,10.051950475755898,11.632413443510032,115.36979051582328,91.91386802699093,103.1141087638689,825.9282064851546,88.0,-168.26622568
6.620966945042438,7.620430860237569,11.391970816375167,89.99974723540006,97.26688153040558,90.00012405095218,570.1607957593868,56.0,-311.31182171
