S1_QAgNO3(%),S1_Qpva(%),S1_Qtsc(%),S1_Qseed(%),S1_Qtot(uL/min),ST_QAgNO3(%),ST_Qpva(%),ST_Qtsc(%),ST_Qseed(%),ST_Qtot(uL/min)
0.31079409276171327,0.037810790234589796,0.4756908820592031,0.350877849234393,0.3688877937494775,0.5461677157379755,0.9388990397418518,0.46935716992884746,0.6028732533121106,0.5604936722042533
0.3779381513529363,0.034477707766323945,0.45917730443538335,0.3068460826259956,0.3300426256890293,0.5501394966294529,0.9695213393811081,0.5940873454144393,0.5619698449570474,0.6610138802499909
0.4544999048476038,-0.011259537331008183,0.4422742777229935,0.30018908152782164,0.28515935009888027,0.5967547334144414,0.9992574165385372,0.5914247985501211,0.5858726940021226,0.7009750144337046
0.4679903439159355,0.019597617642188866,0.44788476356009366,0.3922383730677688,0.340817988600899,0.6773324086608996,0.9911532365658158,0.5972411081085723,0.55724131995351,0.7004628810806942
0.45857086726616386,0.07546117867244133,0.5140638838937205,0.39458428125576384,0.36665992386771495,0.6260834070927621,0.9274591273741564,0.5420921833175477,0.6292179601364714,0.5803514400111855
0.42709658911268406,0.042330921943207214,0.41848272384172497,0.35489310248901373,0.3175729495262373,0.6210938664068917,0.9826228351886024,0.547570831630857,0.5766352986024446,0.6695656115172426
0.5339077908752227,0.03422911841666734,0.5039951706237439,0.3675256807431138,0.41466606871162565,0.6713462816223837,0.9568726590330934,0.5343609483144481,0.6067763678367519,0.6735709889164629
0.4830386146018693,0.058274151078502597,0.4703628895869561,0.28620626635028584,0.38467309813374384,0.6632476279424342,0.9297189271978652,0.5233568966931088,0.5336709168620006,0.6005197969950089
0.4158123937333455,0.024065196264481326,0.4315375538944401,0.3026438203910383,0.3076352729639734,0.5926524843800753,0.989457604927493,0.5152004051619512,0.5565276001642212,0.6534785613503487
0.3391765636712344,0.004693275860868845,0.4682800004766788,0.43893471358001457,0.32374551415742364,0.5890782974055506,0.9578598509770023,0.5556718432806249,0.6478408658990953,0.6453420027812017
0.4280889333877092,0.02596297979949964,0.5071665176392498,0.43056963414954447,0.2915053021629794,0.6230876477787699,0.9671732688072605,0.5771777748350846,0.6562399628920914,0.670317237646985
0.5114196789289647,0.02860724727671362,0.4252990827747678,0.4226765788432714,0.35631854235699933,0.6621473080791537,0.9782225169083217,0.5188830504654094,0.7023914589270359,0.6821066585828377
